Nama,Judul,Abstrak,Tahun
"AANG, HIDAYAT",SISTEM INFORMASI GEOGRAFIS PEMETAAN MANGROVE (STUDI KASUS : BADAN RESTORASI GAMBUT DAN MANGROVE KEC. TULUNG SELAPAN – OKI).,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik SISTEM INFORMASI GEOGRAFIS PEMETAAN MANGROVE (STUDI KASUS : BADAN RESTORASI GAMBUT DAN MANGROVE KEC. TULUNG SELAPAN – OKI). Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"ADIWINANTA, CANDRA",SISTEM INFORMASI LAYANAN ASURANSI BERBASIS ANDROID DAN WEB SERVICE PADA AJB BUMIPUTERA  1912 CABANG SEKIP PALEMBANG.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik SISTEM INFORMASI LAYANAN ASURANSI BERBASIS ANDROID DAN WEB SERVICE PADA AJB BUMIPUTERA  1912 CABANG SEKIP PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"AFRIANI, NYAYU SITI HAMDA AFRIANI",PEMANFAATAN HUMAN ORGANIZATION TECHNOLOGY-NET  BENEFIT UNTUK MENGUKUR SISTEM INFORMASI E-TICKETING  PADA PT KERETA API INDONESIA (Persero) DIVRE III KERTAPATI  PALEMBANG.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik PEMANFAATAN HUMAN ORGANIZATION TECHNOLOGY-NET  BENEFIT UNTUK MENGUKUR SISTEM INFORMASI E-TICKETING  PADA PT KERETA API INDONESIA (Persero) DIVRE III KERTAPATI  PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"AHLUNNADZAR, IZZANI",IMPLEMENTASI FRAMEWORK CODEIGNITER DALAM MEMBANGUN SISTEM INFORMASI PERPUSTAKAAN.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik IMPLEMENTASI FRAMEWORK CODEIGNITER DALAM MEMBANGUN SISTEM INFORMASI PERPUSTAKAAN. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"AKBAR, IMAM",SISTEM INFORMASI PENJUALAN BERBASIS WEB DI CV SEHAT SEJAHTERA 69 PALEMBANG MENGGUNAKAN METODE PROTOTYPE.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SISTEM INFORMASI PENJUALAN BERBASIS WEB DI CV SEHAT SEJAHTERA 69 PALEMBANG MENGGUNAKAN METODE PROTOTYPE. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE PROTOTYPE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"AKBAR, KAYLA AURELIA",SISTEM INFORMASI DOSEN PENGAMPU MATA KULIAH (SIDOKU) MENGGUNAKAN METODE EXTREME PROGRAMMING.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik SISTEM INFORMASI DOSEN PENGAMPU MATA KULIAH (SIDOKU) MENGGUNAKAN METODE EXTREME PROGRAMMING. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE EXTREME PROGRAMMING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"AL-FATHIA, NURDARANI",ANALISIS PENERIMAAN DAN PENGGUNAAN APLIKASI E-LKP UIN RADEN FATAH PALEMBANG MENGGUNAKAN MODEL FOR MANDATORY USE OF SOFTWARE TECHNOLOGIES.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik ANALISIS PENERIMAAN DAN PENGGUNAAN APLIKASI E-LKP UIN RADEN FATAH PALEMBANG MENGGUNAKAN MODEL FOR MANDATORY USE OF SOFTWARE TECHNOLOGIES. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL FOR MANDATORY USE OF SOFTWARE TECHNOLOGIES. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"ALFISUN, AHMAD",Sistem informasi Bursa Kerja Khusus Berbasis Web Menggunakan Metode Waterfall Di SMK Muhammadiyah 1 Palembang.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik Sistem informasi Bursa Kerja Khusus Berbasis Web Menggunakan Metode Waterfall Di SMK Muhammadiyah 1 Palembang. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Metode Waterfall Di SMK Muhammadiyah 1 Palembang. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"ALFISYAHRIN, M.",SISTEM INFORMASI MANAJEMEN PENELITIAN DENGAN  MENGGUNAKAN METODE PROTOTYPE PADA LEMBAGA  PENELITIANDAN PENGABDIAN MASYARAKAT UNIVERSITAS ISLAM NEGERI (UIN) RADEN FATAH PALEMBANG.,"Penelitian yang dilakukan pada tahun 2017 ini berfokus pada topik SISTEM INFORMASI MANAJEMEN PENELITIAN DENGAN  MENGGUNAKAN METODE PROTOTYPE PADA LEMBAGA  PENELITIANDAN PENGABDIAN MASYARAKAT UNIVERSITAS ISLAM NEGERI (UIN) RADEN FATAH PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE PROTOTYPE PADA LEMBAGA  PENELITIANDAN PENGABDIAN MASYARAKAT UNIVERSITAS ISLAM NEGERI. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2017
"ALHERLI, MUHAMMAD RIZQI",ANALISIS USABILITY TESTING PADA APLIKASI RF MOBILE UIN RADEN FATAH PALEMBANG MENGGUNAKAN METODE PSSUQ (POST STUDY SYSTEM USABILITY QUESTIONAIRRE).,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik ANALISIS USABILITY TESTING PADA APLIKASI RF MOBILE UIN RADEN FATAH PALEMBANG MENGGUNAKAN METODE PSSUQ (POST STUDY SYSTEM USABILITY QUESTIONAIRRE). Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE PSSUQ. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
