k,alpha,eta,coherence_cv,coherence_umass,log_perplexity,training_time_seconds
4,symmetric,symmetric,0.3199611536025194,-8.045812083203938,-7.360649603664608,2.259185791015625
4,symmetric,0.01,0.3186319303878564,-8.145195560149189,-8.094830645971893,2.677994728088379
4,symmetric,0.1,0.3152214326082148,-7.917271138764502,-7.4949821685912,2.856994867324829
4,asymmetric,symmetric,0.36050352551355047,-8.851413562771302,-7.342582608677944,2.230853319168091
4,asymmetric,0.01,0.3480661933742818,-8.623568945886495,-8.061607523715505,2.191830635070801
4,asymmetric,0.1,0.35549155155624135,-8.894064288690846,-7.475226822083996,2.172224283218384
4,0.01,symmetric,0.3260731312547446,-8.173619157965073,-7.344058228796226,1.6575407981872559
4,0.01,0.01,0.3200917744547795,-7.873886965405109,-8.126188836655588,1.736919641494751
4,0.01,0.1,0.32829190212822024,-8.08206552987134,-7.494505194033803,1.6502609252929688
4,0.1,symmetric,0.33234533609719974,-8.091160420399113,-7.345783077803293,1.7113261222839355
4,0.1,0.01,0.3393815557498648,-8.42437868360079,-8.107930029555652,1.741603136062622
4,0.1,0.1,0.32997630848654913,-8.264422451179122,-7.489797532705426,1.727487564086914
5,symmetric,symmetric,0.3575898635404364,-9.31662033187027,-7.417604222501741,1.8691940307617188
5,symmetric,0.01,0.36623994898762857,-9.276258918778279,-8.20159502779214,1.9099392890930176
5,symmetric,0.1,0.3483277758471123,-8.940882962649233,-7.535192189685171,1.971660852432251
5,asymmetric,symmetric,0.34574170960882145,-8.402781470460074,-7.406174908084355,2.0053329467773438
5,asymmetric,0.01,0.3677230390706573,-8.609522074809908,-8.172996812232485,2.4305484294891357
5,asymmetric,0.1,0.3532836553323245,-8.409856605879284,-7.519646918666939,2.0039684772491455
5,0.01,symmetric,0.375596965439596,-8.91097591997693,-7.377135138079155,1.616098403930664
5,0.01,0.01,0.3634114836849788,-8.336490842578172,-8.18206148864702,1.6154718399047852
5,0.01,0.1,0.3679258209403221,-8.39091214759497,-7.50093471412531,1.5932612419128418
5,0.1,symmetric,0.3723134372808204,-9.742742469073916,-7.400135276729343,1.9784188270568848
5,0.1,0.01,0.36055593610015996,-8.813100052246352,-8.20193827319388,2.2715871334075928
5,0.1,0.1,0.364688985308027,-9.065045835269544,-7.521724489831705,2.331960916519165
6,symmetric,symmetric,0.3489818888150425,-9.022300565555291,-7.43981462922944,3.7891085147857666
6,symmetric,0.01,0.35106935061869565,-9.3750418201957,-8.237641785383646,2.6429641246795654
6,symmetric,0.1,0.34773588738930244,-9.081809544136016,-7.532859823843675,3.0339066982269287
6,asymmetric,symmetric,0.3813876270104431,-9.657849020603532,-7.421702823042135,2.6543052196502686
6,asymmetric,0.01,0.3908840230538298,-9.98556545652294,-8.205687039027657,2.2720439434051514
6,asymmetric,0.1,0.3829696753633405,-9.830093663518277,-7.51092029252215,1.9607279300689697
6,0.01,symmetric,0.3684519235296642,-9.009819575696731,-7.409466824679737,1.750446081161499
6,0.01,0.01,0.35336395268514936,-8.576216405009923,-8.231884100876032,1.7408301830291748
6,0.01,0.1,0.36656593738462767,-8.885324432346794,-7.507286147974955,1.7413249015808105
6,0.1,symmetric,0.3611259234433224,-8.692071781794118,-7.43521537378972,1.9108757972717285
6,0.1,0.01,0.3692955430457261,-9.147136341083078,-8.246710612309045,1.768674612045288
6,0.1,0.1,0.3663764004194053,-8.879145535647046,-7.530046933538997,1.7746984958648682
7,symmetric,symmetric,0.3730783097354197,-9.43770111567969,-7.450999981850515,1.8839797973632812
7,symmetric,0.01,0.3814643238824082,-9.487803938064086,-8.235145648050347,1.9193224906921387
7,symmetric,0.1,0.37543270242353194,-9.660531981197567,-7.515098990802059,1.9009020328521729
7,asymmetric,symmetric,0.3777207025766445,-9.534329925476198,-7.444235037775689,1.8738481998443604
7,asymmetric,0.01,0.3707520315250702,-9.572349543368919,-8.221404600658861,1.9165167808532715
7,asymmetric,0.1,0.3807035175005083,-9.721927241792201,-7.509694705727274,1.8652493953704834
7,0.01,symmetric,0.4073832645582845,-10.184536375862303,-7.406701541059392,1.619426965713501
7,0.01,0.01,0.4141895305034014,-10.355548813820562,-8.224549425443602,1.663301706314087
7,0.01,0.1,0.41162998256376065,-10.260680840524872,-7.479852562403527,1.5973210334777832
7,0.1,symmetric,0.38924054267916647,-9.283281911229494,-7.4402121494459506,1.7267615795135498
7,0.1,0.01,0.398477639118293,-9.399131834868616,-8.234121947686415,1.8808960914611816
7,0.1,0.1,0.3975407858630532,-9.6590860024741,-7.50816389498947,1.7117550373077393
8,symmetric,symmetric,0.3870755107976722,-9.64679851568723,-7.4675168231015405,1.7475874423980713
8,symmetric,0.01,0.3854446992181544,-9.856959647382144,-8.268485161997141,1.8063223361968994
8,symmetric,0.1,0.3870755107976722,-9.648084427620375,-7.511454902895556,1.7225024700164795
8,asymmetric,symmetric,0.38234996532534793,-9.64630487528176,-7.45890220940465,1.8129844665527344
8,asymmetric,0.01,0.37515611144661953,-9.699246410427035,-8.241438430522015,1.8386070728302002
8,asymmetric,0.1,0.3823499653253479,-9.64140317527211,-7.5031869048558075,1.8313977718353271
8,0.01,symmetric,0.3772865840681089,-9.837424827573505,-7.411837440367844,1.5903630256652832
8,0.01,0.01,0.3711082713875042,-9.62998606193188,-8.228023327568788,1.6292314529418945
8,0.01,0.1,0.3698497297556957,-9.640252548801122,-7.457852854103232,1.6200652122497559
8,0.1,symmetric,0.3658243773827982,-9.448949868884748,-7.452506146862156,1.700840711593628
8,0.1,0.01,0.37721510901764144,-9.462166317605028,-8.256204657821428,1.7533528804779053
8,0.1,0.1,0.37009431055626557,-9.432429789490403,-7.497410561235981,1.7424061298370361
9,symmetric,symmetric,0.40302878338745673,-10.842696956808453,-7.518472701234741,1.6800954341888428
9,symmetric,0.01,0.39467015210221434,-10.461399524959685,-8.332085226277645,1.7040762901306152
9,symmetric,0.1,0.40302878338745673,-10.842112756546632,-7.5413550381002175,1.7889745235443115
9,asymmetric,symmetric,0.42044141944942787,-10.272740564859982,-7.494221176797291,1.7419517040252686
9,asymmetric,0.01,0.4314396797302041,-10.55854861741477,-8.284270883764433,1.7815454006195068
9,asymmetric,0.1,0.4194600107971582,-10.444771283411708,-7.515982503916471,1.7670624256134033
9,0.01,symmetric,0.39928259233728064,-10.474256850323016,-7.472123069369668,1.8116004467010498
9,0.01,0.01,0.392312923893751,-10.219451541799515,-8.285340948587324,1.6545395851135254
9,0.01,0.1,0.4000494834668149,-10.47037451289301,-7.492722171422107,1.6317048072814941
9,0.1,symmetric,0.4046003002787983,-10.839440196785647,-7.513858249215255,1.6571118831634521
9,0.1,0.01,0.3962692626763475,-10.42107946743972,-8.32775398142231,1.6791326999664307
9,0.1,0.1,0.4046003002787983,-10.83745987720119,-7.536916939960574,1.711104393005371
10,symmetric,symmetric,0.37840239556673466,-10.17045604350363,-7.500567083206681,1.7074437141418457
10,symmetric,0.01,0.3924364368613002,-10.42055804188951,-8.282623213995532,1.7293217182159424
10,symmetric,0.1,0.37840239556673466,-10.17045604350363,-7.500567083206681,1.6780743598937988
10,asymmetric,symmetric,0.38793986313408496,-10.26055824770145,-7.484869235714257,1.749779462814331
10,asymmetric,0.01,0.3609941565217317,-9.579411258280116,-8.257423245953982,1.7843568325042725
10,asymmetric,0.1,0.38793986313408496,-10.26055824770145,-7.484869235714257,1.7511565685272217
10,0.01,symmetric,0.3993342881566438,-10.528820684699664,-7.451580145576838,1.6156067848205566
10,0.01,0.01,0.3952454902288719,-10.093823565884424,-8.25724447638427,1.6446647644042969
10,0.01,0.1,0.3993342881566438,-10.528820684699664,-7.451580145576838,1.6344544887542725
10,0.1,symmetric,0.37840239556673466,-10.17045604350363,-7.500567083206681,1.6865856647491455
10,0.1,0.01,0.3924364368613002,-10.42055804188951,-8.282623213995532,1.706378698348999
10,0.1,0.1,0.37840239556673466,-10.17045604350363,-7.500567083206681,1.6846580505371094
