bobot_judul,weight_multiplier,k,coherence_cv,coherence_umass,log_perplexity,vocab_size,total_docs
1x,1,5,0.5293370422582253,-2.072440951121338,-6.5864632385000474,2385,311
1x,1,7,0.511828385584146,-3.4099305877719814,-6.59412973446854,2385,311
1x,1,10,0.4890753221039198,-3.3193559701455952,-6.6400364401748835,2385,311
2x,2,5,0.4550536803791795,-2.568678840159324,-6.5485587400880325,2385,311
2x,2,7,0.4592721740233835,-2.9519102695415365,-6.558313549600046,2385,311
2x,2,10,0.4911859722974654,-2.8419204309557995,-6.5628189221220214,2385,311
3x,3,5,0.4550564306373843,-3.2206397628992525,-6.506481725828918,2385,311
3x,3,7,0.44979180861226703,-2.98126288455877,-6.492343560714944,2385,311
3x,3,10,0.4674467472865862,-2.7090345692467594,-6.484587290741196,2385,311
5x,5,5,0.4207449512546783,-3.8476044963302223,-6.425620314025501,2385,311
5x,5,7,0.41139404535183405,-3.585890545956816,-6.375766245898081,2385,311
5x,5,10,0.4342227332156375,-3.2329340052104016,-6.341611394449649,2385,311
